gene,mock,infection,Con_Nakei,Cut_Nakei,Con_#96,Cut_#96,Con_#62,Cut_#62,Con_#127,Cut_#127,Con_#,Cut_#3,Con_M36001,Cut_M36001,ABA_Root,PEG_Root,H2O_Root,NaOH_Root,ABA_Shoot,PEG_Shoot,H2O_Shoot,NaOH_Shoot,CK60,BTX623,SCS,Ch17,KS78,High_Bulk,Low_Bulk,q1,q2,Control_0h,Control_12h,Control_24h,Infected_12h,Infected_24h,intact,lodged,20d_Leaves_AA,Emerging_Inflorescence,Seed_5d_After_Pollination,Early_Inflorescence,Pistil,Embryo_25d_After_Pollination,Endosperm_25d_After_Pollination,Anther,Seed_10d_After_Pollination,20d_Leaves_CA,Seed,Stem,Leaf,Keller-leaf,Keller-seed,Keller-spikelet,Keller-stem,Spikelet,internode_g_upper,internode_growing,internode_mature,leaf_blade,leaf_flag_internode,leaf_lower,leaf_lower_growing,leaf_lower_whorl,leaf_middle_whorl,leaf_sheath_growing,leaf_upper,leaf_upper_growing,leaf_upper_whorl,panicle,panicle_lower,panicle_upper,peduncle,root_bottom,root_middle,root_top,Roots,seed_dry,seed_imbibed,Shoots,stem_1cm_,stem_2mm,stem_mid_internode
Sobic.003G034300,97.4883,111.744,20.9221,35.9322,68.4288,47.0105,32.6674,26.7043,77.069,39.3226,59.3097,49.3036,19.2457,24.2872,18.7133,7.47753,3.73073,3.79932,59.6238,56.0859,15.0903,18.3946,65.75,80.6752,60.3541,37.7933,53.7816,23.9386,30.2396,8.94835,10.6494,57.922,68.795,16.5328,60.6593,36.1439,65.3779,125.209,25.4221,6.90199,0.626923,11.0528,2.11482,6.98389,4.8172,0.129442,3.29339,46.4324,8.15558,5.67023,5.64106,7.15858,3.20107,5.85191,3.32451,1.04362,1.64664,10.0861,17.2075,26.2731,9.36638,42.0404,38.121,20.9998,53.7896,17.1603,46.3183,22.3614,43.1299,1.62258,0.943948,0.863802,1.80026,4.31158,7.76792,6.61632,4.61074,104.032,2.17539,21.9045,18.5612,12.7325,13.8017
Sobic.001G034300,5.99906,4.80234,3.2642,3.17042,3.96014,8.7168,6.22109,5.03137,4.06434,4.72231,5.48559,5.50534,4.31906,5.7461,1.95258,1.98527,2.15197,2.49889,1.82649,1.77789,2.16612,2.61634,1.20724,0.842757,1.3321,1.52381,1.06214,1.39202,1.90504,0,0,4.33338,4.74767,4.69587,5.06173,4.11135,9.26874,12.0988,3.59992,0.975664,1.30683,4.22968,2.03145,2.06474,2.76738,0.983055,3.24363,6.30368,0,0.561067,0.415708,0.41997,0.238365,0.343776,0,0.94021,9.54762,4.50652,2.9253,5.9266,6.97599,2.68679,14.4186,2.26644,4.522,7.24388,4.98463,5.49303,9.93149,4.8552,2.33236,1.20528,10.999,1.8516,0.76589,1.78639,1.68085,0.155141,2.79603,2.64092,5.55535,5.53948,7.41266
Sobic.003G194600,2.99911,2.75159,1.21974,1.94035,1.78606,1.42192,1.55829,2.82581,1.19783,1.8912,0.924467,2.2689,1.62782,2.39412,3.16001,7.51602,5.11745,5.67513,1.14245,1.69682,1.57693,1.59363,2.02805,1.35461,1.50054,1.10013,1.21395,1.25999,1.52872,0,0,4.94992,6.04056,3.70036,5.45918,3.24407,2.88712,5.20432,1.28124,3.91794,3.38578,6.35827,9.17546,4.27403,1.60586,1.31821,2.27986,1.04477,0,0.706797,0.398081,0.467965,0.167871,1.06753,0.10381,0.684264,8.18742,7.32335,4.74505,1.08969,5.78229,2.24888,2.47907,1.82235,2.16399,6.18292,0.238265,0.411572,0.663555,4.24155,2.96365,2.4932,5.71814,4.851,4.30942,4.71889,4.76592,1.07665,6.61414,1.44032,1.89089,1.60211,4.49044
Sobic.004G031100,89.5735,81.7024,89.9868,6.20438,72.3715,2.00214,126.583,6.06271,35.4811,8.40739,78.7596,7.22268,98.1503,3.01138,17.5379,26.8428,32.8654,27.654,50.1355,23.7757,56.6624,67.3356,15.4499,17.1157,14.9444,16.9451,22.3286,23.5085,17.9391,0,0,33.1108,26.9003,62.4445,34.3605,28.7634,98.4768,96.5536,86.5965,110.764,153.715,83.8807,317.1,79.6593,118.443,454.748,167.302,221.46,12.5184,5.93893,14.653,8.76672,10.9854,10.4977,8.39037,24.478,6.56964,7.98612,3.47419,12.2706,19.3278,9.69099,8.43098,3.5969,11.4298,9.66034,19.9716,5.16523,20.8191,2.9852,4.68597,6.92517,1.65113,4.49937,0.69867,4.44912,3.12453,6.27056,11.6925,2.18719,10.2025,9.18104,5.77761
Sobic.004G003700,0,0.0453574,0,0.0510561,0,0,0,0.0272287,0.0993304,0.026677,0.0372045,0,0,0,5.06872,2.04715,1.23453,1.06933,7.26227,6.42161,3.36646,4.3707,0.778041,0.698359,0.52135,0.841225,1.13666,1.18555,1.28203,0,0,2.46291,4.59172,6.26489,5.25275,3.67031,0.793671,0.490745,0.304891,4.49315,13.7244,38.8045,50.2472,18.8551,2.72459,1.66497,2.82409,0.211788,1.76306,1.73244,0,0,1.02648,4.11032,0.374941,2.17148,1.23622,0.924675,0.180224,0,0.0635785,0.508042,0.015627,0.844116,0.206145,0.0752782,0.0153775,0.00459267,0,2.55494,0.608912,1.18454,1.27478,0.395258,0.041552,0.326005,0.201548,1.42235,1.19027,1.17965,0.346291,0.217681,0.0673302
Sobic.003G296300,198.991,238.957,21.5156,18.2988,43.5571,25.5071,27.1187,67.6665,20.9316,34.0373,24.045,28.0012,19.9359,31.7947,16.9204,44.2824,33.6061,33.4473,12.2428,11.5273,17.5562,24.1516,130.066,121.366,120.582,114.191,142.808,90.4406,89.9041,9.83978,23.4206,90.1723,31.6832,41.5534,25.8496,45.4966,38.0896,62.498,29.4205,6.79474,4.33897,9.82643,9.76698,9.05951,19.1594,3.62956,17.6862,97.3622,13.1669,14.871,44.2694,44.7881,10.444,15.7915,35.5393,10.9462,3.57015,7.6758,9.20847,12.4338,9.52836,8.39575,17.8078,9.14956,9.79322,28.4389,6.14385,5.12562,8.89616,2.27095,2.77763,2.98569,2.38601,9.56266,9.78813,14.0627,8.38765,18.5374,12.1872,2.4348,3.86997,3.37039,6.03173
Sobic.004G237900,0.244145,0.389224,0.103191,0.176783,0.0315149,0.143714,0.0800289,0.565679,0,0.277109,0.0429408,0.182191,0.103521,0.276647,1.18021,0.746457,1.07373,1.06434,0.282675,0.378732,0.199707,0.211077,0.108047,0.0988419,0.139124,0,0.214285,0.0990151,0.127469,44.2818,0,0.655995,0.757093,1.05969,0.393677,1.12241,0.345744,0.267639,0,0.464941,0.328489,0.398998,0.869434,1.99803,0.10144,0.384336,0.682229,0.0611105,13.2645,26.7813,16.5101,18.354,25.2132,30.7733,35.417,19.6874,0.462188,0.21047,0.845834,0.105768,2.37852,0,0.218836,0.25139,0.0722268,0.226299,0.0273883,0.162979,0.101146,1.12548,0.684361,0.439228,0.526556,0.683774,3.18631,2.15455,1.04465,0.044107,0.742271,0.368984,1.80941,1.46977,0.240764
Sobic.010G236300,18.3315,15.77,35.7409,26.2786,11.1444,25.4348,41.1142,17.9867,22.1583,22.5943,31.2177,28.7998,31.2698,19.4569,10.221,9.98097,10.6189,11.0111,24.9617,13.7642,20.9365,19.9275,6.58333,5.27659,5.74257,5.26057,6.02185,5.67006,6.40203,12.0681,0,13.3094,18.3298,19.2396,17.8641,14.6783,34.1171,24.7891,30.8698,9.77175,18.2284,15.6543,13.0983,9.56607,14.4454,12.4822,15.7008,15.9888,2.25051,1.56585,1.49325,1.65963,1.89073,1.14206,1.36863,3.93362,7.22096,11.9255,13.9324,73.4686,19.1765,60.2426,45.1625,36.3957,83.4358,49.2412,86.573,27.4563,97.5749,1.25208,17.4923,14.1482,4.73934,10.9488,6.65512,10.6212,10.4163,3.42011,14.6956,22.0553,8.78563,9.82365,26.4326
Sobic.003G287200,0.15803,0.0847169,0.0556596,0,0,0.0581375,0,0,0,0,0,0.0491353,0,0,9.6214,4.53964,6.67226,6.40846,0.563082,0.450132,0.858846,1.14872,3.54515,2.71384,3.25694,2.6806,3.90448,2.39427,2.95077,0,0,0.825633,0.0816725,0.756524,0.509638,0.23436,0,0,0,0,0.0590622,0.107609,0,0,0,0,0,0,0,0,0,0,0,1.13526,0,0,0,0.593519,0.20657,0.0626493,0,0.775722,0.0247704,2.86582,0.174298,0.0537923,0,0,0.0510716,0,0.020164,0.0792707,0,1.82006,2.01946,3.00214,4.96004,0,0,0.778897,0.0140721,0.114391,0.0369414
Sobic.004G298400,0.217177,0,0,0.0436811,0,0.0532651,0.0593228,0.046591,0,0,0,0.0900348,0.0511589,0,0.0189246,0.0457337,0,0,1.55923,2.84729,1.84111,2.01433,0.160186,0.587237,0.74715,0.636995,0.245807,0.94661,0.853719,0,0,1.29674,2.09518,3.78903,3.96885,2.41556,0.382786,0.671879,0,0.371156,0.162336,1.57744,3.15088,0.560433,0,0,0,0.181201,0,1.57968,0,0,0,0,0,0.240739,27.4495,25.2184,19.3453,0.0377323,6.32568,0.776078,0.461518,0.739574,0.159688,0.873333,0.0313265,0.0247132,0.0343891,13.9122,1.83019,0.216231,42.7155,0.68737,0.0290813,0.0955128,0.093417,0.232954,2.99846,2.9121,47.0614,21.0926,4.32887
